,N,Q_1 [lb/h],proportion_%
/record_202,2606,26,0.9976976208749041
/record_203,2105,100,4.750593824228028
/record_204,2465,0,0.0
/record_205,2586,3,0.11600928074245939
/record_206,2995,6,0.20033388981636058
/record_207,2508,4,0.1594896331738437
/record_208,2826,23,0.813871196036801
/record_21,1672,1,0.05980861244019139
/record_210,1069,6,0.5612722170252572
/record_212,2399,0,0.0
/record_213,1723,6,0.3482298316889147
/record_214,1993,5,0.2508780732563974
/record_215,2371,7,0.2952340784479123
/record_216,2327,17,0.730554361839278
/record_217,1777,5,0.28137310073157007
/record_218,1734,0,0.0
/record_219,1942,0,0.0
/record_22,3925,24,0.6114649681528662
/record_220,2383,1,0.0419639110365086
/record_221,1731,4,0.2310803004043905
/record_223,2126,3,0.14111006585136407
/record_224,1991,3,0.15067805123053743
/record_225,3499,7,0.20005715918833952
/record_226,3360,0,0.0
/record_227,2024,1,0.04940711462450593
/record_228,1861,0,0.0
/record_229,2303,4,0.17368649587494572
/record_23,2700,35,1.2962962962962963
/record_231,1264,55,4.351265822784811
/record_232,1481,43,2.9034436191762323
/record_233,1401,38,2.7123483226266956
/record_234,2248,4,0.1779359430604982
/record_235,2266,34,1.500441306266549
/record_236,1796,11,0.6124721603563474
/record_237,2723,16,0.5875872199779655
/record_238,2303,62,2.692140686061659
/record_239,2329,4,0.17174753112924002
/record_24,3156,45,1.4258555133079849
/record_240,1917,1,0.05216484089723526
/record_241,1941,4,0.20607934054611027
/record_243,1333,1,0.07501875468867217
/record_244,2643,5,0.18917896329928113
/record_245,1323,2,0.15117157974300832
/record_246,371,23,6.199460916442049
/record_247,1085,0,0.0
/record_248,1107,19,1.7163504968383017
/record_249,2304,37,1.6059027777777777
/record_25,2848,25,0.877808988764045
/record_250,2234,6,0.26857654431512984
/record_251,2084,25,1.199616122840691
/record_252,2068,4,0.19342359767891684
/record_253,2606,5,0.19186492709132769
/record_254,1553,18,1.159047005795235
/record_255,3348,6,0.17921146953405018
/record_256,2763,23,0.8324285197249367
/record_257,2685,43,1.601489757914339
/record_258,2906,16,0.5505849965588437
/record_259,244,2,0.819672131147541
/record_26,2857,91,3.1851592579628982
/record_260,1258,7,0.5564387917329093
/record_261,1465,3,0.20477815699658702
/record_262,1013,3,0.29615004935834155
/record_263,2648,8,0.3021148036253776
/record_264,2866,0,0.0
/record_265,1326,0,0.0
/record_266,1293,0,0.0
/record_267,1714,13,0.7584597432905484
/record_268,1492,6,0.40214477211796246
/record_269,2892,0,0.0
/record_27,2439,5,0.2050020500205002
/record_270,2911,4,0.13740982480247338
/record_271,994,2,0.2012072434607646
/record_272,1721,2,0.11621150493898895
/record_273,1869,7,0.37453183520599254
/record_274,2166,0,0.0
/record_275,1230,7,0.5691056910569106
/record_276,3095,0,0.0
/record_277,2318,3,0.12942191544434856
/record_278,3032,4,0.13192612137203166
/record_279,1202,0,0.0
/record_28,1518,41,2.7009222661396577
/record_280,915,1,0.1092896174863388
/record_281,1506,4,0.2656042496679947
/record_282,1139,4,0.35118525021949076
/record_283,2073,0,0.0
/record_284,2434,1,0.041084634346754315
/record_285,3464,2,0.057736720554272515
/record_286,3338,0,0.0
/record_287,7095,0,0.0
/record_288,2901,0,0.0
/record_289,1307,12,0.9181331293037491
/record_29,1883,0,0.0
/record_290,1372,0,0.0
/record_291,764,3,0.3926701570680628
/record_292,804,0,0.0
/record_293,1399,7,0.5003573981415297
/record_294,1638,0,0.0
/record_295,1021,1,0.0979431929480901
/record_296,1419,21,1.4799154334038054
/record_297,3998,10,0.25012506253126565
/record_298,1142,20,1.7513134851138354
/record_299,2843,13,0.4572634540977841
/record_30,1206,5,0.41459369817578773
/record_300,2823,17,0.602196245129295
/record_301,3462,5,0.14442518775274407
/record_302,1356,0,0.0
/record_303,2030,8,0.3940886699507389
/record_304,1217,0,0.0
/record_305,1599,0,0.0
/record_306,1515,13,0.8580858085808581
/record_307,2013,4,0.19870839542970692
/record_308,2062,3,0.1454898157129001
/record_309,1202,1,0.08319467554076539
/record_31,368,77,20.92391304347826
/record_310,1444,0,0.0
/record_311,1392,0,0.0
/record_312,1441,0,0.0
/record_313,2589,0,0.0
/record_314,2991,0,0.0
/record_315,783,3,0.38314176245210724
/record_316,1715,16,0.9329446064139941
/record_317,2638,0,0.0
/record_318,2578,0,0.0
/record_319,1034,0,0.0
/record_32,949,58,6.111696522655427
/record_320,1110,0,0.0
/record_321,2248,0,0.0
/record_322,2352,1,0.04251700680272109
/record_323,2501,0,0.0
/record_324,2218,0,0.0
/record_325,1697,2,0.11785503830288745
/record_326,3408,0,0.0
/record_327,1771,2,0.1129305477131564
/record_328,2330,0,0.0
/record_329,2130,0,0.0
/record_33,4774,3,0.06284038542103058
/record_330,2679,2,0.07465472191116088
/record_331,2789,3,0.10756543564001435
/record_332,2722,6,0.2204261572373255
/record_333,1816,0,0.0
/record_334,1818,1,0.055005500550055
/record_335,2595,2,0.07707129094412332
/record_336,2649,0,0.0
/record_337,895,0,0.0
/record_338,1808,2,0.11061946902654868
/record_339,2852,7,0.24544179523141654
/record_34,2327,14,0.6016330038676407
/record_340,3613,10,0.2767783005812344
/record_341,1646,10,0.6075334143377886
/record_342,2426,1,0.041220115416323165
/record_343,7620,2,0.026246719160104987
/record_344,3411,0,0.0
/record_345,2942,15,0.5098572399728076
/record_346,4216,6,0.14231499051233396
/record_347,2067,2,0.09675858732462506
/record_348,1674,0,0.0
/record_349,353,2,0.56657223796034
/record_35,2968,65,2.1900269541778976
/record_350,1875,0,0.0
/record_351,2047,0,0.0
/record_352,1964,0,0.0
/record_353,2606,4,0.15349194167306215
/record_354,2831,1,0.035323207347227124
/record_355,2428,1,0.04118616144975289
/record_356,1559,0,0.0
/record_357,1001,2,0.1998001998001998
/record_358,2190,1,0.045662100456621
/record_359,2114,0,0.0
/record_36,3214,4,0.12445550715619166
/record_360,1945,2,0.10282776349614395
/record_361,2450,1,0.04081632653061225
/record_362,522,0,0.0
/record_363,3805,19,0.49934296977660975
/record_364,3951,1,0.02531004808909137
/record_365,2781,0,0.0
/record_366,3749,2,0.05334755934915977
/record_367,1651,0,0.0
/record_368,844,0,0.0
/record_369,2366,4,0.16906170752324598
/record_37,4990,1,0.02004008016032064
/record_370,3379,1,0.029594554601953243
/record_371,1343,0,0.0
/record_372,1796,0,0.0
/record_373,3034,0,0.0
/record_374,2483,0,0.0
/record_375,2496,2,0.08012820512820512
/record_376,2617,2,0.07642338555598013
/record_377,927,0,0.0
/record_378,2484,0,0.0
/record_379,2376,0,0.0
/record_38,2256,11,0.4875886524822695
/record_380,15,0,0.0
/record_381,4721,40,0.8472781190425758
/record_382,2487,9,0.3618817852834741
/record_383,2072,23,1.1100386100386102
/record_384,1764,26,1.473922902494331
/record_385,2521,5,0.19833399444664812
/record_386,2141,0,0.0
/record_387,2774,8,0.2883922134102379
/record_388,957,3,0.3134796238244514
/record_389,1200,0,0.0
