vol,N1_moy,ALT_moy,TAT_moy,M_moy,Q_moy
526,107.23361949413832,22887.130941377796,-12.19625218814088,0.4996862625258622,8876.675348292567
527,109.2931673197302,21386.991817898674,-4.787783845982486,0.4781785294538217,9542.919664438854
528,107.70076081414113,21554.564835548204,-14.296836012879135,0.46984463062748344,9238.446819762206
529,109.03874975273717,24620.549611039252,-12.327952388963416,0.5035712606265769,8848.114680846682
530,109.15326211517126,22562.774251465555,-7.450900662610537,0.4824726878305786,9250.286730463422
531,105.47854233104505,22833.892274003945,-11.279104018223286,0.48010916432878303,8372.4444765598
532,109.29148268721627,21978.44737430536,-3.5450695102871905,0.47713357240754134,9352.57160112467
533,105.12947876161331,22204.439387297203,-13.100211407946645,0.47072654644930495,8335.729808824544
534,107.79436410108873,22329.779576707973,-17.305191113106435,0.47096104483054396,9096.868319449706
535,106.5818126888643,15754.74949133417,-8.225823213847711,0.3883662205431338,9954.7258900289
536,107.83183372521101,22590.388286889487,-16.955363726204304,0.46091516118675496,9008.841304954754
537,104.99749701018277,20784.62263582948,-9.642606375041217,0.46106428716486486,8699.449078262034
538,107.46289404975103,22306.78790092764,-16.376986380514236,0.47703277673917993,9179.954982219017
539,107.9184296542652,23171.91407703241,-13.178084214468239,0.47833941367241384,8843.054347856501
540,111.2398390731555,23374.033852714,4.794682498125667,0.481103710936945,9090.52244256243
541,109.20839752910625,22618.73773249312,-12.405217998814196,0.4633822193721295,9186.484415951432
542,105.92805085730697,21166.977430935076,-11.126091131791744,0.47065288955487805,8893.067014719316
543,108.13312977068357,23624.654168660614,-13.702514718708514,0.4858509047603037,8926.823023434014
544,105.87565880826372,20724.25914572992,-12.143236084213449,0.4699003520843116,8945.791622439572
545,108.21697612335429,24385.933140470133,-16.88448125021994,0.4991135648187022,8798.56837069219
546,105.09985615363432,21926.039816105174,-13.29786522426918,0.47033656615472175,8414.58277583586
547,107.06944024663402,22428.422674409518,-13.849473055403829,0.4922931972495388,9014.937692732856
548,104.70876785656256,20111.371832553075,-15.762638589310974,0.45149872518574113,8743.921661762042
549,108.57592137168152,24647.912848253687,-17.62653107606301,0.49014959667379443,8774.996047600298
550,108.25206044390245,24664.013255586968,-20.770360898016232,0.48382110853246746,8650.008674900273
551,107.06033774972008,21068.168786256243,-7.40294969680671,0.4636667538594249,9084.179128765078
552,109.11086303334122,23810.244548248,-12.203227904136103,0.48732821367362344,8996.449439618025
553,105.04255330069405,21205.505697884946,-16.20157534133349,0.4704668802274024,8764.005597934913
554,108.73863541929016,20357.004731688714,-13.3385109634258,0.42245851661268474,9424.974423224414
555,105.52931844640378,21292.08566558164,-17.04477760134091,0.4757597947136363,8880.795303573204
556,105.15168086809916,22537.669666867132,-17.80588641040983,0.4776122364500988,8439.471473360916
557,108.13534377757853,21505.42865266749,-10.922034288066273,0.4706551312298658,9338.949522192797
558,102.76815817055318,20265.603055869004,-16.726859499705963,0.4532869044825688,8352.615141760249
559,108.75799405705422,22846.328823691463,-14.262134091874776,0.4666064143644902,9111.57303685439
560,102.7427024341246,21356.735317437597,-17.385385707325465,0.46639348658859714,8179.723084919601
561,106.7040085497767,20016.70626496886,-7.97302396816048,0.4734073746157205,9399.111715061492
562,107.95361284326835,23157.265624450174,-15.412569223554021,0.4866598276675366,9066.489802697728
563,106.03245557517893,21149.502693643095,-17.22820144542967,0.4605533865369611,8948.956563025404
564,106.738321728713,22147.511248529052,-22.2973717309448,0.47148289369075147,9040.127700463918
565,103.52539849159993,19992.208703540313,-15.933800681081646,0.43299476974333034,8397.29336681393
566,104.82379335916768,21715.035700327764,-18.435607125972375,0.4624013768121547,8561.932110631167
567,106.42440515613771,21109.14069006864,-17.912736261142307,0.4544010114461539,9046.198680734506
568,106.80677204887552,22164.933462491514,-20.905962596468306,0.4758231951465518,9098.975320016943
569,105.32220924258395,20890.59684875972,-16.73814257855539,0.46641296803293414,8938.307179118035
570,106.43204697598543,20124.447051194817,-16.163838567744772,0.4579462110783972,9338.545325289671
571,104.04349307615324,21530.8654863799,-16.784367454196353,0.4720274133230769,8379.233207772222
572,108.83795541432586,23690.586551400702,-11.890514059156732,0.49502745448445606,8979.687751705298
573,107.73307128121837,22025.283908343557,-15.786010775774114,0.47212496442372043,9199.03296952312
575,104.25069574463181,18646.37111115974,-16.045457886498813,0.4065185292862233,8953.814929019944
576,103.6674440696703,20526.557967495242,-18.300770850719445,0.44900109009583333,8424.62697266283
577,107.42610825275344,22431.45903596624,-18.680827229153127,0.4725851774222114,8875.56428870385
578,104.73115799400234,22143.361439339464,-18.244023103813348,0.46756137620211863,8403.75767104253
579,109.02430153935555,23714.453937538285,-8.339772639760902,0.4900801422792916,8974.627307010694
580,104.92569849151901,20932.750155589838,-15.39339463419853,0.4561602141750001,8582.541021707591
581,105.01549399913213,22592.083143810905,-13.825933859803234,0.47811516758490563,8394.315287634416
582,106.80358394842686,21561.222904847164,-16.48439804445947,0.46412746758,9005.352886893228
583,107.84644538324274,23727.0156930606,-16.613231844555397,0.5003199614446022,8890.019072998439
584,107.27284642877052,21594.122666957795,-22.12355201909776,0.4408741683100872,9058.214766164194
585,106.54247024450869,24179.559978032692,-17.84367292152892,0.49742680500385605,8379.17769926448
586,108.43916685769975,23758.140887040212,-13.527837748015658,0.49162245184681086,8914.131637786688
587,106.0214381537373,22308.009992856565,-15.929588140998948,0.4829565365100001,8721.305125613238
588,107.78824412073018,22232.067785948868,-17.088724600082603,0.47050248758333335,9131.533842269535
589,105.6233182427055,21458.266343972253,-14.022372654314925,0.47291847150447763,8770.222608631571
590,104.95124198144859,22167.299266515096,-18.657649219683737,0.47871140588181815,8558.52115639928
591,107.07183212908228,21662.842580063207,-16.315403779172836,0.46557553168518523,9053.535880005604
592,106.06729471190903,20400.642903122614,-15.486719039762004,0.4610167524800936,9175.979004864355
593,106.40598419208769,21662.022982293256,-14.644961374273498,0.46196389771650004,8822.192564262255
594,108.61147085114752,21402.301454168184,-9.110307244023257,0.4629023139244186,9352.733970948722
595,107.94948598291887,23902.212294433244,-20.490434279632975,0.48149788068316374,8794.522418350727
596,105.20709772623172,19310.713709053212,-9.686586041800108,0.45012563100975084,9011.243028824345
597,104.423417863246,18327.642115243343,-9.98969178948156,0.44538734727206775,9104.168974968794
598,107.76463790428936,21049.903053224545,-14.18972689275837,0.4604342096199776,9292.331913158036
599,106.36788402260474,22220.80947789345,-17.743446213482656,0.47453840554335264,8805.784589793502
600,106.33095434925418,20133.25395920239,-12.255693832836153,0.4567983400109052,9205.031847858023
601,107.5152760418146,21737.36559131997,-15.050754656631385,0.4601875469250852,9089.232210677494
602,106.96839055588066,22702.747422644024,-22.483330206583158,0.47754582466683687,8943.308373301528
