vol,duree_montee_s,altitude_debut_ft,altitude_fin_ft,effort_total_lb
288,1875,199.375543564,37097.761024548,3772.6888627504823
289,2047,125.189294796,41729.764932,3951.1604317970223
290,1964,171.555700276,38252.284521,3647.464404626473
291,2606,227.19538685199998,38247.647880452,4819.1391247206175
292,2831,180.828981372,39416.081298548,5039.970343393388
293,2428,352.38468164799997,40565.968154452,4400.637965158719
294,1559,259.651870688,41720.491650904,3418.8638204039166
295,1001,-18.546562192,33972.665295196,2479.98364967189
296,2190,190.102262468,39406.808017452,4228.786482836061
297,2114,115.9160137,38252.284521,4036.1793859475456
298,3214,185.46562192,41720.491650904,5493.639435027995
299,1945,194.738903016,39411.444658,3614.5565203391566
300,2450,-55.639686576,40542.784951712,4444.6764042741
301,522,255.01523014,25116.681848516,1610.5584298909766
302,3805,273.561792332,40561.331513904,6058.45040801096
303,3951,125.189294796,41725.128291452,6572.28755562337
304,2781,333.838119456,41729.764932,5005.862636080493
305,3749,500.757179184,40570.604795,6127.423985631853
306,1651,194.738903016,38280.104364287996,3420.7327523585045
307,844,115.9160137,35618.672689736,2296.257890725974
308,2366,204.012184112,40579.878076096,4339.675643186052
309,4990,922.691469052,42888.925069,6996.277574583127
310,3379,445.117492608,41720.491650904,5665.141921686243
311,1343,296.744995072,40570.604795,3112.7681471822098
312,1796,-64.912967672,41725.128291452,3766.3973133244776
313,3034,129.825935344,40570.604795,5371.71479108266
314,2483,199.375543564,40565.968154452,4462.745955657317
315,2496,250.378589592,41743.674853644,4615.045256739673
316,2617,-41.729764932,40575.241435548,4800.863786238731
317,927,222.558746304,37422.325862908,2441.9732080842177
318,2484,-27.819843288,39416.081298548,4791.945141863039
319,2376,13.909921644,40565.968154452,4613.153459551901
320,2256,143.735856988,40570.604795,4156.534752836356
321,15,-23.18320274,259.651870688,51.095372136437774
322,4721,-13.909921644,39416.081298548,7447.187193602235
323,2487,338.474760004,41743.674853644,4680.96331714698
324,2072,46.36640548,39388.26145526,3657.3566265625395
325,1764,176.19234082399998,38247.647880452,3253.648069438371
326,2521,176.19234082399998,40570.604795,4467.587367926026
327,2141,120.552654248,39416.081298548,3901.1300981537015
328,2774,231.8320274,41725.128291452,4998.631205227229
329,957,523.940381924,36128.703150016,2503.2219471883673
330,1200,139.09921644,40570.604795,2762.3127181472
331,2548,180.828981372,38256.921161548,4433.566307812571
332,2546,-18.546562192,39406.808017452,4296.745566163509
333,2189,-27.819843288,39406.808017452,3985.109285910944
334,1873,157.645778632,38256.921161548,3451.9654574566475
335,2832,0.0,38256.921161548,4988.103570495268
336,3420,491.483898088,39411.444658,5305.6065882099165
337,1246,46.36640548,35933.964246999996,2744.8665452266214
338,1165,32.456483836,32456.483836,2445.331990495843
339,3199,78.822889316,40565.968154452,5118.99740301597
340,2859,64.912967672,41734.401572548,4841.140292778425
341,3803,148.372497536,38247.647880452,6243.546877514684
342,3340,310.654916716,37093.124384,5718.196483276686
343,998,222.558746304,34774.80411,2491.6689872630345
344,1792,250.378589592,38247.647880452,3535.502985183412
345,1943,148.372497536,39397.534736356,3678.096596495164
346,2857,18.546562192,40570.604795,4741.299853790359
347,2471,153.009138084,39411.444658,4279.997384571752
348,4199,0.0,39420.717939096,6867.270725516896
349,4208,616.673192884,40570.604795,6687.056585014952
350,2123,-32.456483836,39416.081298548,3885.515550754618
351,706,301.38163562,33105.613512719996,1942.318522213481
352,2291,18.546562192,38252.284521,4182.294243169873
353,3244,231.8320274,39416.081298548,5414.159884475004
354,2264,37.093124384,37074.577821808,4130.759617869608
355,1927,0.0,39416.081298548,3641.920187295639
356,2009,278.19843288,40552.058232808,3756.850476752845
357,4523,194.738903016,39402.171376904,7322.152877943665
358,4849,176.19234082399998,40570.604795,7521.505218621919
359,4482,-37.093124384,35683.585657408,7001.24294048437
360,2415,486.84725754,40575.241435548,4327.32360353255
361,1636,-13.909921644,39406.808017452,3356.308152708213
362,1391,885.598344668,38252.284521,2912.2569002114456
363,1802,120.552654248,39406.808017452,3620.281252668825
364,3508,208.64882466,40570.604795,5553.358610375364
365,2161,250.378589592,40575.241435548,4043.5275498333876
366,762,111.279373152,33648.100456836,1997.4887195902497
367,3955,-32.456483836,40556.694873356,6315.343709717329
368,4038,-32.456483836,40565.968154452,6418.973760247569
369,4158,204.012184112,39416.081298548,6596.717252132148
370,4252,204.012184112,39406.808017452,6725.917853963792
371,1695,301.38163562,40575.241435548,3413.5975961712857
372,2191,-4.636640548,39411.444658,3886.1112502507676
373,2381,0.0,38256.921161548,4125.712418502228
374,2928,97.369451508,39420.717939096,4873.410357403197
375,2750,-46.36640548,41725.128291452,4769.4950931748
376,2269,78.822889316,39406.808017452,3948.434655314639
377,1751,88.09617041199999,35929.327606451996,3235.47141248918
378,2673,69.54960822,39406.808017452,4468.409312887381
379,1889,41.729764932,37083.851102904,3629.2805270773288
380,1477,820.685376996,38261.557802096,3005.0801194781966
381,1514,-4.636640548,38243.011239904,3023.504683692452
382,2693,166.919059728,41734.401572548,4667.017931770442
383,2197,-64.912967672,38252.284521,3960.9058348673707
384,735,51.003046028,33875.295843688,1974.6752340376934
386,2341,97.369451508,35929.327606451996,4274.228125209038
387,1395,180.828981372,40556.694873356,3010.3331059442467
388,1970,46.36640548,37097.761024548,3753.331637708921
389,2438,171.555700276,41729.764932,4365.634903451611
390,2384,32.456483836,38252.284521,3862.283270404768
391,2804,199.375543564,38256.921161548,4645.705127574854
392,3015,153.009138084,39420.717939096,5016.44201844545
393,2760,153.009138084,38252.284521,4742.6284441817725
394,3298,-23.18320274,37088.487743452,4705.2016677569945
395,3665,319.928197812,41734.401572548,5963.340665425654
396,4372,1080.337247684,40570.604795,6904.080140645664
397,2485,403.387727676,40556.694873356,4318.513268156157
398,3335,-27.819843288,40570.604795,5654.161796023875
399,4167,102.006092056,39420.717939096,6519.580786264012
400,1899,23.18320274,37088.487743452,3620.2812526688244
401,2286,180.828981372,38247.647880452,3457.479588954343
402,2146,125.189294796,38256.921161548,4075.9564676571326
403,2697,27.819843288,38043.635696339996,4466.487429866469
404,2130,125.189294796,38252.284521,3915.204250896073
405,1970,51.003046028,39402.171376904,3635.4938533371724
406,1301,-4.636640548,34770.167469452,2693.289799759961
407,1344,18.546562192,37093.124384,2766.719690985384
408,3060,217.922105756,41711.218369808,5089.213631641796
409,3598,157.645778632,39411.444658,5729.663999435904
410,2980,115.9160137,40570.604795,4669.951902218147
411,1488,51.003046028,38252.284521,3119.5434768050877
412,1627,0.0,37093.124384,3111.6080374563744
413,1570,83.459529864,37093.124384,3179.543052117311
414,1785,765.04569042,35929.327606451996,3361.843946005769
415,2566,-4.636640548,38252.284521,4470.938929737698
416,2031,32.456483836,39406.808017452,3724.54069882833
417,2537,199.375543564,38252.284521,4357.9738469011245
418,2889,264.288511236,39406.808017452,4999.266618023123
419,3347,301.38163562,41725.128291452,5489.452690488387
420,2419,-4.636640548,40570.604795,4440.800145532486
421,2462,69.54960822,39327.985128136,4319.543407082833
422,684,148.372497536,31385.419869412,1931.4960463167602
423,2316,162.28241918,41711.218369808,4072.695163344878
424,2535,190.102262468,40579.878076096,4438.738664245809
425,2372,199.375543564,37093.124384,4421.420055257739
426,3681,23.18320274,41729.764932,6091.479839064158
427,4101,931.964750148,40584.514716644,6535.532294994252
428,3693,-18.546562192,38247.647880452,6069.30056287417
429,4224,204.012184112,39402.171376904,6731.6738755599235
430,3788,199.375543564,38252.284521,6177.343603409221
431,1884,4.636640548,38247.647880452,3239.11059486566
432,2011,120.552654248,41720.491650904,3664.6819252151963
433,1497,78.822889316,41739.038213096,3185.409789579394
434,2304,282.835073428,40570.604795,4236.945760783327
435,2100,60.276327124,39406.808017452,3738.9951365015777
