vol,duree_s,alt_debut_ft,alt_fin_ft,TAS_moy_ms,Vz_moy_ms,gamma_moy_deg,rho_moy,D_moy_N,F_moy_N,E_meca_GJ,conso_kg,eta,rend_Jkg,TSFC,delta_atmo_K
58,1701,806.775455352,33601.734051356,153.43831349423075,5.89603653230959,2.680249492675011,0.5326644995913744,-36.83905281135514,43001.11670541067,4.080936732938962,1454.1223216804158,0.06496436143564845,2806460.414020013,3.228312382331064e-05,5.9348758679488585
59,1446,190.102262468,37097.761024548,164.27820246726233,7.797154685462411,3.4926560700943514,0.5435904646965556,-564.4103653921269,36909.25383106588,4.5405334026182205,1385.0620813536318,0.07588464177194275,3278216.5245479266,3.711836272005419e-05,9.26842304815772
60,1818,867.051782476,38243.011239904,172.66382882481992,6.28211951120266,2.7181386863189227,0.4733815561070421,-131.61461506033604,37172.45427118198,4.70810100411842,1609.3561207278526,0.06771889585910225,2925456.3011132176,3.8547479977833976e-05,11.067927258261944
61,3618,55.639686576,39402.171376904,180.9079040813174,3.331451594294146,1.4448300296446923,0.3995857473896633,-1116.2312743018085,38980.43208143645,5.02831484977941,2624.6980449975745,0.04434650199098794,1915768.886010679,3.5196195838578176e-05,11.903594646161498
62,5507,287.471713976,41729.764932,180.85764256822176,2.30441680034656,0.9597676508993718,0.3382361169339347,1172.9715488547424,35922.81947953486,5.685687641004715,3702.143210597779,0.03555052637113429,1535782.7392330011,4.142508328162301e-05,5.917402592527994
63,2841,176.19234082399998,40565.968154452,178.46529667975852,4.340583182475727,1.9017396147306183,0.4010101760803299,-406.88029223133486,32889.549494039,5.141846232179572,2286.110337526495,0.052064074241609366,2249168.0072375247,4.569968329521814e-05,15.257141319862
64,1577,357.02132219599997,41715.855010356,164.7418882484586,7.970030552923689,3.4502355016701682,0.4936718995609648,333.36923054443133,32278.769458086488,5.1143188473302885,1552.2500929582516,0.07626800017080229,3294777.607378659,4.647485647526255e-05,9.362651350113678
65,2251,190.102262468,38243.011239904,165.01301920543145,5.164334443407487,2.2969703488361963,0.45203048574208154,-353.13640052334614,38713.20259446795,4.643197043747947,1797.608167973165,0.05979134661526833,2582986.173779592,3.5393244177001946e-05,11.124998662725378
66,1278,74.186248768,35920.054325356,155.52755807630803,8.618344453650765,4.048640629732581,0.5938677574469983,-469.148090029369,39740.248414173075,4.4294808898082945,1245.6446386592986,0.0823142304590435,3555974.7558306796,3.386950170710154e-05,7.019983114032657
67,2633,227.19538685199998,39406.808017452,170.11078046057594,4.544655269532199,1.988527075693501,0.44562345412066046,-474.55914222600586,33827.49060150514,4.841824196745152,2013.9405321007298,0.05565172458028636,2404154.501868371,4.0971444639659e-05,4.0700075176598505
68,329,88.09617041199999,15991.773250052,106.0021536883182,14.864665988235979,8.870567199900544,0.986460288602646,-1632.2108164535525,60370.00997301464,1.9302766037272645,463.1717187475053,0.09647033050897744,4167518.277987825,2.5342256831874902e-05,-5.698179433983298
69,611,171.555700276,24017.79803864,123.51821076789365,11.974786788004042,6.232400949628663,0.8609250982659847,-820.6140968042808,42719.999746293994,2.9017503768493587,725.9436735692037,0.09252804323233817,3997211.467637009,3.102845288696836e-05,-1.4420105995169745
70,1367,0.0,30128.890280904,153.8023699729601,6.687608300502747,3.2050485550557988,0.6039495011056805,-805.113709945059,45766.100562950545,3.6707803599272655,1225.234925320339,0.0693514083176277,2995980.839321517,3.097539380557619e-05,2.0012172996551585
71,808,-32.456483836,30008.337626656,131.05997837404865,11.393975793338017,5.499995256113366,0.793144103848971,-565.4449699681602,41222.7633153771,3.659476073822264,953.5277142417675,0.08883862842812244,3837828.7480948893,3.474633638696669e-05,0.5255803344738826
